time,value
12.54672,71539
12.55605,64169
12.5654,69550
12.57473,76975
12.58408,80751
12.59342,80904
12.60275,74239
12.6121,65575
12.62143,63229
12.63077,62089
12.64012,68673
12.64945,81098
12.65878,84852
12.66813,80700
12.67747,70488
12.6868,59718
12.69615,54240
12.70548,49319
12.71482,52370
12.72417,55945
12.7335,62221
12.74285,60790
12.75218,63158
12.76152,70237
12.77087,73582
12.7802,66115
12.78953,57903
12.79888,54236
12.80822,55586
12.81755,55616
12.8269,56366
12.83623,56575
12.84557,57322
12.85492,55516
12.86425,55592
12.87358,56340
12.88293,54620
12.89227,51455
12.9016,55990
12.91095,55777
12.92028,56031
12.92963,48053
12.93897,50654
12.9483,57659
12.95765,61553
12.96698,57211
12.97632,54467
12.98567,48441
12.995,47936
13.00433,48922
13.01368,46110
13.02302,49418
13.03235,58375
13.0417,66230
13.05103,68603
13.06037,61178
13.06972,64965
13.07905,80002
13.08838,88317
13.09773,70095
13.10707,63474
13.11642,58683
13.12575,60150
13.13508,56414
13.14443,64334
13.15377,71000
13.1631,82258
13.17245,105240
13.18178,124866
13.19112,129320
13.20047,229669
13.2098,677264
13.21913,1466888
13.22848,1725586
13.23782,1092148
13.24715,431772
13.2565,208340
13.26583,164499
13.27517,123454
13.28452,90782
13.29385,74723
13.3032,64566
13.31253,63542
13.32187,70399
13.33122,80088
13.34055,80052
13.34988,78070
13.35923,82551
13.36857,77083
13.3779,71502
13.38725,64979
13.39658,68500
13.40592,86188
13.41527,95461
13.4246,75962
13.43393,62270
13.44328,62503
13.45262,69026
13.46195,70772
13.4713,64823
13.48063,60877
13.48998,63398
13.49932,58985
13.50865,57331
13.518,63218
13.52733,105766
13.53667,169020
13.54602,187377
13.55535,134327
13.56468,84221
13.57403,64664
13.58337,57374
13.5927,55622
13.60205,49466
13.61138,50820
13.62072,48336
13.63007,48266
13.6394,53490
13.64875,61857
13.65808,69912
13.66742,75182
13.67677,66000
13.6861,58830
13.69543,56984
13.70478,59904
13.71412,60832
13.72345,53436
13.7328,46720
13.74213,41687
13.75147,40902
13.76082,44264
13.77015,46457
13.77948,47236
13.78883,46424
13.79817,48547
13.8075,56471
13.81685,61243
13.82618,61916
13.83553,54555
13.84487,46898
13.8542,47820
13.86355,49555
13.87288,52269
13.88222,57811
13.89157,72806
13.9009,108130
13.91023,188464
13.91958,333696
13.92892,502145
13.93825,463812
13.9476,255161
13.95693,120187
13.96627,83034
13.97562,75110
13.98495,67955
13.99428,64656
14.00363,63857
14.01297,65988
14.02232,60403
14.03165,54260
14.04098,57345
14.05033,134826
14.05967,807388
14.069,3570009
14.07835,8674345
14.08768,1.23E+07
14.09702,9422708
14.10637,3078027
14.1157,515142
14.12503,108083
14.13438,73658
14.14372,66512
14.15305,68121
14.1624,73863
14.17173,80642
14.18107,89979
14.19042,112541
14.19975,165787
14.2091,201941
14.21843,162979
14.22777,94758
14.23712,59691
14.24645,47825
14.25578,46350
14.26513,50190
14.27447,52853
14.2838,58599
14.29315,53912
14.30248,51338
14.31182,49249
14.32117,58465
14.3305,83402
14.33983,108666
14.34918,112099
14.35852,87981
14.36785,66525
14.3772,57016
14.38653,53190
14.39588,53359
14.40522,54358
14.41455,52033
14.4239,48385
14.43323,48162
14.44257,52173
14.45192,75180
14.46125,135133
14.47058,205504
14.47993,210210
14.48927,164382
14.4986,99209
14.50795,64386
14.51728,53493
14.52662,48773
14.53597,47663
14.5453,50099
14.55465,52807
14.56398,56637
14.57332,60967
14.58267,57533
14.592,53864
14.60133,53808
14.61068,53593
14.62002,50063
14.62935,54977
