D:\Êý¾Ý\20211118\ZS1E-Z-000020.D Fri Nov 19 01:43:17 2021,
Start of data points,
13.2097,2480290
13.21905,5673308
13.22838,7017587
13.23772,4613496
13.24707,1661265
13.2564,445470
13.26573,198069
13.27508,138783
13.28442,107307
13.29375,108254
13.3031,110849
13.31243,103878
13.32177,95282
13.33112,99053
13.34045,97346
13.34978,88855
13.35913,87592
13.36847,85683
13.37782,76154
13.38715,70397
13.39648,73320
13.40583,88739
13.41517,97237
13.4245,84265
13.43385,70282
13.44318,71670
13.45252,84082
13.46187,84031
13.4712,74723
13.48053,67565
13.48988,68233
13.49922,64271
13.50855,57967
13.5179,68268
13.52723,106863
13.53657,168905
13.54592,190854
13.55525,135462
13.5646,79227
13.57393,59223
13.58327,52207
13.59262,50225
13.60195,50245
13.61128,50507
13.62063,47704
13.62997,49185
13.6393,51813
13.64865,52494
13.65798,54558
13.66732,54199
13.67667,54808
13.686,52366
13.69533,46607
13.70468,46016
13.71402,49683
13.72335,54230
13.7327,51287
13.74203,45720
13.75138,44393
13.76072,45247
13.77005,49824
13.7794,48276
13.78873,47606
13.79807,48156
13.80742,55319
13.81675,65485
13.82608,62863
13.83543,56216
13.84477,51698
13.8541,47333
13.86345,49967
13.87278,56505
13.88212,62590
13.89147,69661
13.9008,87762
13.91015,150311
13.91948,287953
13.92882,465733
13.93817,445833
13.9475,255586
13.95683,126920
13.96618,88793
13.97552,79939
13.98485,66836
13.9942,58049
14.00353,59672
14.01287,62447
14.02222,57223
14.03155,54415
14.04088,61614
14.05023,133815
14.05957,766331
14.0689,3375815
14.07825,8141787
14.08758,1.13E+07
14.09693,8180095
14.10627,2554248
14.1156,419042
14.12495,94217
14.13428,66572
14.14362,64201
14.15297,68218
14.1623,71206
14.17163,86513
14.18098,93566
14.19032,110559
14.19965,152566
14.209,182907
14.21833,150418
14.22767,89289
14.23702,58903
14.24635,49060
14.25568,47007
14.26503,49504
14.27437,54288
14.28372,61752
14.29305,56632
14.30238,50662
14.31173,49618
14.32107,56333
14.3304,85196
14.33975,112931
14.34908,114577
14.35842,91291
14.36777,68839
14.3771,57865
14.38643,52912
14.39578,51990
14.40512,52781
14.41445,53073
14.4238,47143
14.43313,45605
14.44247,50709
14.45182,66749
14.46115,102702
14.4705,151584
14.47983,173077
14.48917,146380
14.49852,91989
14.50785,61498
14.51718,49255
14.52653,45118
14.53587,45071
14.5452,48198
14.55455,53124
14.56388,58936
14.57322,61273
14.58257,58130
14.5919,53569
14.60123,51933
