D:\数据\20211117中山一医采样\ZS1E-Z-000001.D Wed Nov 17 19:37:15 2021,
Start of data points,
10.18373,3704263
10.19307,2021121
10.20242,539919
10.21175,123219
10.22108,66437
10.23043,63739
10.23977,69724
10.2491,87950
10.25845,93528
10.26778,82225
10.27713,62948
10.28647,52816
10.2958,48770
10.30515,49130
10.31448,49170
10.32382,49347
10.33317,51511
10.3425,51749
10.35183,48678
10.36118,47936
10.37052,48275
10.37985,45532
10.3892,45049
10.39853,42106
10.40787,41249
10.41722,39596
10.42655,39283
10.4359,40297
10.44523,44380
10.45457,46939
10.46392,58291
10.47325,69182
10.48258,68838
10.49193,55826
10.50127,45975
10.5106,40393
10.51995,39765
10.52928,38156
10.53862,37169
10.54797,40387
10.5573,44401
10.56663,47921
10.57598,47847
10.58532,52842
10.59465,54676
10.604,54144
10.61333,52865
10.62268,47718
10.63202,48958
10.64135,59162
10.6507,69835
10.66003,57627
10.66937,50730
10.67872,49859
10.68805,52849
10.69738,57189
10.70673,52236
10.71607,49240
10.7254,58629
10.73475,59997
10.74408,55932
10.75342,61549
10.76277,92171
10.7721,144637
10.78143,165376
10.79078,136485
10.80012,157620
10.80947,270677
10.8188,346512
10.82813,273298
10.83748,136200
10.84682,67608
10.85615,49246
10.8655,46394
10.87483,49171
10.88417,54015
10.89352,62813
10.90285,65651
10.91218,56942
10.92153,51872
10.93087,49780
10.9402,56786
10.94955,55341
10.95888,49863
10.96822,46155
10.97757,48263
10.9869,44408
10.99625,41731
11.00558,43791
11.01492,46783
11.02427,44465
11.0336,41943
11.04293,40122
11.05228,38814
11.06162,38878
11.07095,36318
11.0803,38189
11.08963,37514
11.09897,41364
11.10832,48074
11.11765,60677
11.12698,67355
11.13633,62030
11.14567,52936
11.15502,49180
11.16435,47695
11.17368,45698
11.18303,44553
11.19237,42306
11.2017,39775
11.21105,40019
11.22038,42256
11.22972,45279
11.23907,46828
11.2484,42956
11.25773,41421
11.26708,48363
11.27642,53279
11.28575,51531
11.2951,47565
11.30443,44861
11.31377,47114
11.32312,44727
11.33245,43369
11.3418,55950
11.35113,79879
11.36047,112596
11.36982,125710
11.37915,103874
11.38848,74632
11.39783,58114
11.40717,62714
11.4165,69985
11.42585,63655
11.43518,52380
11.44452,45938
11.45387,44081
11.4632,52998
11.47253,67267
11.48188,85744
11.49122,83470
11.50055,59456
11.5099,46561
11.51923,42610
11.52858,41561
11.53792,41289
11.54725,43913
11.5566,48626
11.56593,63716
11.57527,111681
11.58462,167007
11.59395,186140
11.60328,143522
11.61263,102567
11.62197,82435
11.6313,72940
11.64065,71882
11.64998,73722
11.65932,75779
11.66867,77880
11.678,74923
11.68733,64828
11.69668,56230
11.70602,48895
11.71537,52171
11.7247,50920
11.73403,49793
11.74338,48563
11.75272,50653
11.76205,50616
11.7714,50313
11.78073,54383
11.79007,61908
11.79942,65844
11.80875,65396
11.81808,53701
11.82743,51517
11.83677,53607
11.8461,56000
11.85545,53362
11.86478,53828
11.87412,56041
11.88347,60489
11.8928,61624
11.90215,57681
11.91148,54388
11.92082,51913
11.93017,52570
11.9395,57059
11.94883,74480
11.95818,88707
11.96752,83166
11.97685,67617
11.9862,54178
11.99553,48653
12.00487,53639
12.01422,65446
12.02355,83438
12.03288,86446
12.04223,75627
12.05157,68690
12.06092,60675
12.07025,54294
12.07958,48572
12.08893,45946
12.09827,49484
12.1076,53609
12.11695,58260
12.12628,55730
12.13562,56334
12.14497,53591
12.1543,53255
12.16363,59675
12.17298,83386
12.18232,151523
12.19165,195294
12.201,159478
12.21033,92125
12.21967,62310
12.22902,64485
12.23835,82789
12.2477,92723
12.25703,78191
12.26637,65994
12.27572,90352
12.28505,153586
12.29438,196507
12.30373,153611
12.31307,92598
12.3224,62083
12.33175,57910
12.34108,61686
12.35042,69666
12.35977,67654
12.3691,61174
12.37843,50937
12.38778,56394
12.39712,65820
12.40645,76937
12.4158,87430
12.42513,83145
12.43448,74364
12.44382,67112
12.45315,62763
12.4625,61258
12.47183,65149
12.48117,69107
12.49052,69333
12.49985,69574
12.50918,74126
12.51853,70020
12.52787,71900
12.5372,69843
12.54655,66282
12.55588,62725
12.56522,65737
12.57457,71397
12.5839,83049
12.59323,85305
12.60258,79752
12.61192,74353
12.62127,65054
12.6306,62658
12.63993,70129
12.64928,82887
12.65862,89481
12.66795,84650
12.6773,73724
12.68663,64413
12.69597,54852
12.70532,51146
12.71465,52579
12.72398,58749
12.73333,61674
12.74267,58773
12.752,59920
12.76135,63026
12.77068,67566
12.78003,61493
12.78937,54604
12.7987,50618
12.80805,50486
12.81738,51951
12.82672,51850
12.83607,53798
12.8454,53844
12.85473,52759
12.86408,50472
12.87342,48066
12.88275,50149
12.8921,48835
12.90143,53948
12.91077,55598
12.92012,52872
12.92945,48029
12.93878,50919
12.94813,54407
12.95747,58623
12.96682,58888
12.97615,54556
12.98548,47134
12.99483,47848
13.00417,48116
13.0135,49861
13.02285,50534
13.03218,54209
13.04152,64631
13.05087,67513
13.0602,60315
13.06953,59711
13.07888,70780
13.08822,75763
13.09755,65742
13.1069,60501
13.11623,56060
13.12557,54210
13.13492,55854
13.14425,61126
13.1536,65751
13.16293,64596
13.17227,62677
13.18162,66804
13.19095,104302
13.20028,375739
13.20963,1447883
13.21897,3164310
13.2283,3789061
13.23765,2381666
13.24698,863327
13.25632,271567
13.26567,164965
13.275,129679
13.28433,105250
13.29368,91875
13.30302,74998
13.31235,70168
13.3217,75663
13.33103,82303
13.34038,79727
13.34972,76284
13.35905,80517
13.3684,78650
13.37773,71610
13.38707,63427
13.39642,63589
13.40575,81872
13.41508,88561
13.42443,74475
13.43377,62297
13.4431,62699
13.45245,72346
13.46178,71117
13.47112,66485
13.48047,60768
13.4898,61017
13.49913,55173
13.50848,53961
13.51782,58256
13.52717,92347
13.5365,147250
13.54583,156187
13.55518,107268
13.56452,69097
13.57385,53111
13.5832,49764
13.59253,46412
13.60187,47058
13.61122,46339
13.62055,48669
13.62988,49131
13.63923,49439
13.64857,56187
13.6579,59267
13.66725,62107
13.67658,57417
13.68592,51442
13.69527,49122
13.7046,53068
13.71395,54278
13.72328,55447
13.73262,50006
13.74197,44398
13.7513,41969
13.76063,44028
13.76998,46623
13.77932,45486
13.78865,44643
13.798,48346
13.80733,55807
13.81667,58670
13.82602,60401
13.83535,50882
13.84468,47290
13.85403,45668
13.86337,46707
13.87272,53458
13.88205,56136
13.89138,63747
13.90073,87306
13.91007,144531
13.9194,275839
13.92875,424481
13.93808,396335
13.94742,229297
13.95677,114309
13.9661,83024
13.97543,72020
13.98478,64983
13.99412,57394
14.00345,58421
14.0128,54929
14.02213,53790
14.03147,52391
14.04082,55831
14.05015,124722
14.0595,729818
14.06883,3230245
14.07817,7830782
14.08752,1.04E+07
14.09685,7191058
14.10618,2222160
14.11553,357012
14.12487,91359
14.1342,68107
14.14355,63302
14.15288,63994
14.16222,70943
14.17157,79647
14.1809,89212
14.19023,94505
14.19958,118200
14.20892,137267
14.21825,113336
14.2276,78120
14.23693,55688
14.24628,46744
14.25562,46880
14.26495,49969
14.2743,51146
14.28363,57042
14.29297,56472
14.30232,48539
14.31165,47963
14.32098,57804
14.33033,84842
14.33967,109986
14.349,110537
14.35835,84889
14.36768,64086
14.37702,57020
14.38637,50272
14.3957,52130
14.40503,51092
14.41438,51817
14.42372,46818
14.43307,45517
14.4424,47822
14.45173,61631
14.46108,100528
14.47042,141930
14.47975,164400
14.4891,132858
14.49843,90583
14.50777,61494
14.51712,49931
14.52645,43707
14.53578,43443
14.54513,47897
14.55447,51108
14.5638,56980
14.57315,58813
14.58248,56275
14.59183,54601
14.60117,50717
14.6105,48222
14.61985,47207
14.62918,50754
14.63852,59481
14.64787,78033
14.6572,112488
14.66653,132493
14.67588,120560
14.68522,85566
14.69455,61886
14.7039,53871
14.71323,49907
14.72257,48363
14.73192,49070
14.74125,49674
14.75058,50889
14.75993,52215
14.76927,51906
14.77862,55131
14.78795,57715
14.79728,63257
14.80663,73616
14.81597,73693
14.8253,66081
14.83465,60009
14.84398,54064
14.85332,47894
14.86267,48401
14.872,60552
14.88133,87626
14.89068,92920
14.90002,76432
14.90935,59491
14.9187,52647
14.92803,51975
14.93737,55452
14.94672,52544
14.95605,53472
14.9654,59518
14.97473,69458
14.98407,77980
14.99342,71504
15.00275,62446
15.01208,66765
15.02143,75446
15.03077,74586
15.0401,64600
15.04945,66791
15.05878,75721
15.06812,79812
15.07747,86562
15.0868,82820
15.09613,68320
15.10548,55371
15.11482,50278
15.12415,52260
15.1335,70115
15.14283,91674
15.15218,87916
15.16152,69230
15.17085,54778
15.1802,50468
15.18953,52457
15.19887,62420
15.20822,87429
15.21755,130673
15.22688,180730
15.23623,201251
15.24557,170343
15.2549,119920
15.26425,83193
15.27358,62088
15.28292,56337
15.29227,57314
15.3016,56993
15.31093,53874
15.32028,52522
15.32962,56235
15.33897,63096
15.3483,68725
15.35763,69228
15.36698,67726
15.37632,80578
15.38565,89306
15.395,81075
15.40433,62071
15.41367,51778
15.42302,52193
15.43235,57084
15.44168,62305
15.45103,57536
15.46037,52020
15.4697,49567
15.47905,50121
15.48838,53051
15.49773,52371
15.50707,64328
15.5164,94826
15.52575,153585
15.53508,175138
15.54442,130970
15.55377,82106
15.5631,57715
15.57243,48867
15.58178,47025
15.59112,47001
15.60045,49791
15.6098,52891
15.61913,56037
15.62847,61357
15.63782,74664
15.64715,80579
15.65648,81310
15.66583,89168
15.67517,96201
15.68452,85311
15.69385,66941
15.70318,68184
15.71253,87421
15.72187,97214
15.7312,81271
15.74055,64867
15.74988,65853
15.75922,85123
15.76857,97193
15.7779,92669
15.78723,84725
15.79658,66655
15.80592,64014
15.81525,81094
15.8246,131087
15.83393,221088
15.84327,364582
15.85262,465980
15.86195,421138
15.8713,240050
15.88063,119428
15.88997,97975
15.89932,113927
15.90865,131067
15.91798,126031
15.92733,102405
15.93667,73909
15.946,62215
15.95535,54952
15.96468,57183
15.97402,60624
15.98337,83930
15.9927,114506
16.00203,143012
16.01138,133231
16.02072,98841
16.03005,70183
16.0394,57704
16.04873,55766
16.05808,60324
16.06742,62790
16.07675,62339
16.0861,62166
